text,created_at,retweet_count,favorite_count,is_retweet,id_str
Sleepy Eyes fails again! https://t.co/MC7KSBo4Cd,5/12/20 10:31,9003,35323,FALSE,1.26016E+18
Big news! https://t.co/mV4cYB84Jm,5/12/20 10:29,21816,75668,FALSE,1.26016E+18
Fake Journalists! https://t.co/fdFWf95Zz1,5/12/20 10:29,20468,93029,FALSE,1.26016E+18
A great time to have strong Borders and we now have the strongest Borders in our history. 182 miles of Border Wall already built! Dems want Open Borders let EVERYONE IN. No thanks! https://t.co/XdW55c0kKv,5/12/20 10:27,12648,45201,FALSE,1.26015E+18
Then we must be very careful. Crazy Nancy would be a total disaster and the USA will never be a Communist Country! https://t.co/r0tP5dxZ9h,5/12/20 10:20,17000,61785,FALSE,1.26015E+18
ColdCaseJoe! https://t.co/4EWnS6fZcX,5/12/20 10:18,10305,36306,FALSE,1.26015E+18
The Lamestream Media is truly out of control. Look how they work (conspire!) together. They are the Enemy of the People but don't worry we will WIN in November! https://t.co/3YOSChXP9M,5/12/20 3:36,27006,107604,FALSE,1.26005E+18
Interestingly! https://t.co/LSXciF3gt0,5/12/20 2:41,15636,50720,FALSE,1.26004E+18
https://t.co/GNwQL5scL2,5/12/20 2:33,17991,51878,FALSE,1.26004E+18
OBAMAGATE! https://t.co/pFbb6hgDhF,5/12/20 2:22,55576,147186,FALSE,1.26003E+18
Vote @MikeGarcia2020 by May 12th! His opponent @ChristyforCA25 voted to fire teachers and cut their salaries while bumping up her pay. Now she's mocking our Great Vets! We need Navy Fighter Pilot Mike Garcia in #CA25! https://t.co/MEnGMvl8it,5/11/20 22:16,11331,34803,FALSE,1.25997E+18
Tom Tiffany (@TomTiffanyWI) is a Great Advocate for the incredible people of Wisconsin (WI07). We need Tom in Congress to help us Make America Great Again! He will Fight for Small Business supports our Incredible Farmers Loves our Military and our Vets....,5/11/20 22:13,13553,51306,FALSE,1.25997E+18
....He is Strong on Crime the Border and Second Amendment. Tom has deep roots in Wisconsin is a big Tax Cutter and will help me DRAIN THE SWAMP! Tom has my Complete and Total Endorsement. Vote for Tom Tiffany! https://t.co/5OqIcahKg1,5/11/20 22:13,8038,30574,FALSE,1.25997E+18
Congressman Adrian Smith is a strong fighter for Nebraska. He fights for your Second Amendment defends our Borders strengthens our Military and loves our Vets! Adrian has my Complete and Total Endorsement! #NE03 https://t.co/lmZL5CsqWY,5/11/20 19:10,12061,43046,FALSE,1.25992E+18
Congressman Jeff Fortenberry (@SupportFortNE) is a great advocate for Nebraska. He fights for Farmers Small Businesses and our incredible Vets and Military. Jeff has my Complete and Total Endorsement! #NE01 https://t.co/avfdrBY1h0,5/11/20 19:10,8152,28436,FALSE,1.25992E+18
Congressman @DonJBacon is doing a tremendous job for Nebraska! He served our Country as an Air Force General and now he serves our Vets Farmers and Small Businesses. Strongly supports the Second Amendment. Don has my Complete &amp; Total Endorsement! #NE02 https://t.co/gHYoWjRBrZ,5/11/20 19:09,8856,30818,FALSE,1.25992E+18
https://t.co/v4XFSs5NBg,5/11/20 17:37,10535,41114,FALSE,1.2599E+18
THE ENEMY OF THE PEOPLE. Sadly our Lamestream Media is TOTALLY CORRUPT! https://t.co/S4hRDIZIOQ,5/11/20 15:32,27940,97569,FALSE,1.25987E+18
Because it was OBAMAGATE and he and Sleepy Joe led the charge. The most corrupt administration in U.S. history! https://t.co/PTzFvvITh3,5/11/20 15:26,45911,136608,FALSE,1.25987E+18
"He should be FIRED by Concast. If done by a Republican would be ""prosecuted"". @AjitPaiFCC https://t.co/Lqi3oWEaiP",5/11/20 15:21,15059,48885,FALSE,1.25987E+18
".@WashTimes  ""FBI Went Rogue In Pursuit Of Trump""",5/11/20 14:28,26619,98156,FALSE,1.25985E+18
The great people of Pennsylvania want their freedom now and they are fully aware of what that entails. The Democrats are moving slowly all over the USA for political purposes. They would wait until November 3rd if it were up to them. Don't play politics. Be safe move quickly!,5/11/20 14:26,34791,134866,FALSE,1.25985E+18
OBAMAGATE makes Watergate look small time!,5/11/20 14:16,80771,312317,FALSE,1.25985E+18
Coronavirus numbers are looking MUCH better going down almost everywhere. Big progress being made!,5/11/20 13:56,34018,206205,FALSE,1.25984E+18
Dems are trying to steal the Mike Garcia Congressional Race in California. Republicans get out and VOTE for your terrific candidate ASAP!,5/11/20 13:52,30096,102401,FALSE,1.25984E+18
Great credit being given for our Coronavirus response except in the Fake News. They are a disgrace to America!,5/11/20 13:45,30057,158078,FALSE,1.25984E+18
@FCC  THIS IS A DISGRACE EVEN WORSE THAN @NBC USUALLY IS WHICH IS REALLY BAD. SLEEPY EYES MUST BE FIRED! https://t.co/NWy7WTxH8e,5/11/20 13:28,1919,4288,FALSE,1.25984E+18
This is why it's not really the Lamestream Media it's the Rigged Media....and it is what I'm up against. It was corrupt in 2016. Now it is much more corrupt and what you are seeing is the least of it....but WE WILL WIN AGAIN! https://t.co/UXyOrQ7fXW,5/11/20 13:17,34022,98494,FALSE,1.25984E+18
OBAMAGATE! https://t.co/mSmWsbfOWf,5/11/20 13:02,35533,120328,FALSE,1.25983E+18
